Date,Open,High,Low,Close,Adj. Close,Change,Volume,Company
"Feb 2, 2026",819.5,821.0,818.0,819.5,819.5,1.24%,846,BATASHOE
"Feb 1, 2026",822.1,822.1,808.1,809.5,809.5,-0.32%,114,BATASHOE
"Jan 29, 2026",812.1,816.7,811.1,812.1,812.1,-0.68%,251,BATASHOE
"Jan 28, 2026",817.7,818.0,810.0,817.7,817.7,0.22%,356,BATASHOE
"Jan 27, 2026",815.9,816.0,810.4,815.9,815.9,0.68%,737,BATASHOE
"Jan 26, 2026",813.0,814.0,808.9,810.4,810.4,0.19%,207,BATASHOE
"Jan 25, 2026",811.7,811.7,802.5,808.9,808.9,-0.30%,544,BATASHOE
"Jan 22, 2026",811.3,814.3,811.0,811.3,811.3,-0.33%,579,BATASHOE
"Jan 21, 2026",814.0,816.7,810.1,814.0,814.0,-0.40%,12,BATASHOE
"Jan 20, 2026",814.0,818.9,812.6,817.3,817.3,0.31%,308,BATASHOE
"Jan 19, 2026",814.5,818.5,812.0,814.8,814.8,0.09%,186,BATASHOE
"Jan 18, 2026",809.4,814.5,809.4,814.1,814.1,0.58%,144,BATASHOE
"Jan 15, 2026",809.4,815.0,808.7,809.4,809.4,-0.34%,312,BATASHOE
"Jan 14, 2026",811.1,815.9,811.0,812.2,812.2,0.30%,623,BATASHOE
"Jan 13, 2026",809.8,815.0,809.1,809.8,809.8,-0.52%,186,BATASHOE
"Jan 12, 2026",806.0,814.0,806.0,814.0,814.0,0.83%,365,BATASHOE
"Jan 11, 2026",814.0,814.0,806.0,807.3,807.3,-0.44%,166,BATASHOE
"Jan 8, 2026",803.0,814.0,802.0,810.9,810.9,0.98%,922,BATASHOE
"Jan 7, 2026",803.0,810.5,802.0,803.0,803.0,-0.17%,957,BATASHOE
"Jan 6, 2026",800.0,809.0,800.0,804.4,804.4,-0.02%,144,BATASHOE
"Jan 5, 2026",804.6,809.0,804.0,804.6,804.6,-0.53%,131,BATASHOE
"Jan 4, 2026",806.0,811.0,806.0,808.9,808.9,-0.60%,224,BATASHOE
"Jan 1, 2026",804.1,816.0,804.1,813.8,813.8,1.21%,283,BATASHOE
"Mar 16, 2026",254.5,255.2,252.0,254.5,254.5,0.59%,89748,GP
"Mar 15, 2026",255.0,257.0,251.0,253.0,253.0,-0.39%,39621,GP
"Mar 12, 2026",254.0,255.2,248.5,254.0,254.0,1.68%,64756,GP
"Mar 11, 2026",249.8,255.1,247.5,249.8,249.8,-0.32%,137538,GP
"Mar 10, 2026",250.6,251.8,240.0,250.6,250.6,4.55%,153368,GP
"Mar 9, 2026",239.7,241.0,238.0,239.7,239.7,-0.08%,160275,GP
"Mar 8, 2026",245.9,245.9,239.5,239.9,239.9,-2.12%,246516,GP
"Mar 5, 2026",245.1,248.0,243.9,245.1,245.1,0.12%,129283,GP
"Mar 4, 2026",244.8,251.9,238.1,244.8,244.8,-5.66%,401020,GP
"Mar 2, 2026",259.5,260.6,258.2,259.5,249.0,-0.27%,449709,GP
"Mar 1, 2026",262.0,262.1,257.0,260.2,249.67,-0.72%,152247,GP
"Feb 26, 2026",265.9,265.9,261.0,262.1,251.49,-1.13%,519082,GP
"Feb 25, 2026",264.0,266.0,263.2,265.1,254.37,0.42%,58804,GP
"Feb 24, 2026",266.4,267.2,263.5,264.0,253.32,-0.86%,192242,GP
"Feb 23, 2026",266.9,266.9,262.8,266.3,255.52,0.79%,106147,GP
"Feb 22, 2026",266.2,266.2,263.9,264.2,253.51,-0.30%,79140,GP
"Feb 19, 2026",267.0,267.5,264.8,265.0,254.28,-0.75%,109206,GP
"Feb 18, 2026",268.5,268.5,266.5,267.0,256.2,-0.56%,120022,GP
"Feb 17, 2026",270.1,273.5,268.0,268.5,257.64,-0.33%,156484,GP
"Feb 16, 2026",278.0,278.0,268.8,269.4,258.5,-1.79%,266262,GP
"Feb 15, 2026",270.0,275.0,266.0,274.3,263.2,3.08%,447224,GP
"Feb 10, 2026",265.5,266.5,264.1,266.1,255.33,0.57%,144040,GP
"Feb 9, 2026",262.4,265.2,261.6,264.6,253.89,1.22%,91101,GP
"Feb 8, 2026",263.7,263.7,260.5,261.4,250.82,-0.31%,100429,GP
"Feb 5, 2026",263.0,264.0,262.0,262.2,251.59,-0.23%,192190,GP
"Feb 3, 2026",264.8,264.8,261.0,262.8,252.17,-0.76%,269159,GP
"Feb 2, 2026",261.8,265.0,260.1,264.8,254.09,1.15%,174154,GP
"Feb 1, 2026",267.1,267.3,260.8,261.8,251.21,-2.24%,226175,GP
